ID;NAME;FORM;STREET;POSTBOX;POSTCODE;CITY;COUNTRY;REGION;TELEPHONE;CUSTTYPE;DISCOUNT;LANGU;EMAIL;WEBUSER
1085;August Hunter;Herr;Alte Reichsstr. 98;;66464;Homburg;DE;;06841 53232;P;0;DE;August_Hunter@Homburg.net;
1086;Laura Trensch;Frau;Raupelsweg 159;;60118;Mainz;DE;;06221 934 432;P;5;DE;Laura_Trensch@Mainz.net;
1087;Stephen Henry;Herr;Arionweg 240;;68723;Schwetzingen;DE;;06202 12345;P;10;DE;Stephen_Henry@Schwetzingen.net;
1088;Pierre Simonen;M;65 route de Pgomas;;06130;Grasse;FR;;+33 2 72 69 00 32;P;15;FR;Pierre_Simonen@Grasse.net;
1089;Ruth Meier;Frau;Melissenstr. 243;;41466;Neuss;DE;;02131 465750;P;0;DE;Ruth_Meier@Neuss.net;
1090;Siegfried Gahl;Herr;Schillerstr. 239;;15344;Strausberg;DE;;03342 365749;P;5;DE;Siegfried_Gahl@Strausberg.net;
1091;August Illner;Herr;Alte Reichsstr. 253;;66464;Homburg;DE;;06841 53232;P;10;DE;August_Illner@Homburg.net;
1092;Guenther Lindwurm;Herr;Jacobistrasse 228;;79104;Freiburg;DE;;0761 475633;P;15;DE;Guenther_Lindwurm@Freiburg.net;
1093;Hendrik Benz;Herr;Auf dem Huegel 34;;75757;Elsenz;DE;;07272 757575;P;0;DE;Hendrik_Benz@Elsenz.net;
1094;August Delon;Herr;Alte Reichsstr. 46;;66464;Homburg;DE;;06841 53232;P;5;DE;August_Delon@Homburg.net;
1095;Allen Jeremias;Mr.;250 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;10;EN;Allen_Jeremias@N.Massapequa.net;
1096;Kurt Hoffen;Dr.;Waldmann 262;;69207;Kurt;DE;;06221 922 053;P;15;DE;Kurt_Hoffen@Kurt.net;
1097;Ida Leisert;Frau;Dudweilerstr. 10;;66386;St. Ingbert;DE;;06894 194285;P;0;DE;Ida_Leisert@St.Ingbert.net;
1098;Guillermo Sommer;Mr.;126 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;5;ES;Guillermo_Sommer@Madrid.net;
1099;Adam Hansmann;Herr;Heidelberger Str. 95;;69483;Wald-Michelbach;DE;;06207 4138;P;10;DE;Adam_Hansmann@Wald-Michelbach.net;
1100;Amelie Schneider;Frau;Froschstr. 198;;68753;Amelie;DE;;07254 953350;P;15;DE;Amelie_Schneider@Amelie.net;
1101;Juan Benjamin;Sr.;116 Fuenlabrada;;28017;Madrid;ES;;914782397;P;0;ES;Juan_Benjamin@Madrid.net;
1102;dipl. Betriebswirt (BA) R;Herr;Gemeindestr. 146;;79761;Waldshut;DE;;07751 800753;P;5;DE;Roland_Kramer@Waldshut.net;
1103;Florian Heller;Herr;Gruenlingweg 99;;69180;Wiesloch;DE;;06222 12345;P;10;DE;Florian_Heller@Wiesloch.net;
1104;Georg Babilon;Herr;Caspar-David-Friedrich-Str. 24;;69190;Walldorf;DE;;06227/57188;P;15;DE;Georg_Babilon@Walldorf.net;
1105;Salvador Martin;Sr.;189 Piedad;;41006;Sevilla;ES;;953345728;P;0;ES;Salvador_Martin@Sevilla.net;
1106;Achim Legrand;Herr;Rankestr. 172;;76137;Karlsruhe;DE;;0721 37758;P;5;DE;Achim_Legrand@Karlsruhe.net;
1107;Matthias Sisko;Herr;Gartenstr. 67;;69123;Heidelberg;DE;;07254 6442;P;10;DE;Matthias_Sisko@Heidelberg.net;
1108;Ida Vrsic;Frau;Dudweilerstr. 211;;66386;St. Ingbert;DE;;06894 194285;P;15;DE;Ida_Vrsic@St.Ingbert.net;
1109;Simon Kramer;M;rue de Moillebeau 254;;1211;Genve;CH;;+41 22 730 4003;P;0;FR;Simon_Kramer@Genve.net;
1110;Lee DOultrement;Mr.;109 17th St.;;09765;Boulder;US;;516-865-1547;P;5;EN;Lee_DOultrement@Boulder.net;
1111;Ulla Hansmann;Frau;Gruenlingweg 164;;69180;Wiesloch;DE;;06222 12345;P;10;DE;Ulla_Hansmann@Wiesloch.net;
1112;Cindy Lautenbach;Mrs;179 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;15;EN;Cindy_Lautenbach@Arlington.net;
1113;Carmel Neubasler;Dr.;205 Oak Street;;07666;Teaneck;US;;973-331-3069;P;0;EN;Carmel_Neubasler@Teaneck.net;
1114;Johannes Domenech;Herr;Leichhof 41;;55128;Mainz;DE;;06131 125627;P;5;DE;Johannes_Domenech@Mainz.net;
1115;Lothar Illner;Herr;Hauptstr. 153;;69180;Walldorf;DE;;06227 12345;P;10;DE;Lothar_Illner@Walldorf.net;
1116;Juan Heller;Sr.;166 Fuenlabrada;;28017;Madrid;ES;;914782397;P;15;ES;Juan_Heller@Madrid.net;
1117;Lothar Babilon;Herr;Hauptstr. 177;;69180;Walldorf;DE;;06227 12345;P;0;DE;Lothar_Babilon@Walldorf.net;
1118;Guenther Kramer;Herr;Jacobistrasse 236;;79104;Freiburg;DE;;0761 475633;P;5;DE;Guenther_Kramer@Freiburg.net;
1119;Christa Heller;Frau;Ausserhalb 17;;64342;Seeheim-Jugenheim;DE;;06157 93123;P;10;DE;Christa_Heller@Seeheim-Jugenheim.net;
1120;Ludwig Mechler;Herr;Wilhelminentr. 47;;64283;Darmstadt;DE;;06151 77372;P;15;DE;Ludwig_Mechler@Darmstadt.net;
1121;Thomas DOultrement;Mr.;191 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;0;EN;Thomas_DOultrement@Chicago.net;
1122;Guillermo Goelke;Mr.;217 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;5;ES;Guillermo_Goelke@Madrid.net;
1123;Anne-Marie DOultrement;Frau;Marktplatz 21;;90419;Nuernberg;DE;Bay;0911 584 365;P;10;DE;Anne-Marie_DOultrement@Nuernberg.net;
1124;Benjamin Waldmann;Mr;92 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;15;EN;Benjamin_Waldmann@NewOrleans.net;
1125;Peter Wohl;Herr;Karl-Marx-Allee 218;;16233;Potsdam;DE;;03224 78655;P;0;DE;Peter_Wohl@Potsdam.net;
1126;Juan Koslowski;Sr.;157 Fuenlabrada;;28017;Madrid;ES;;914782397;P;5;ES;Juan_Koslowski@Madrid.net;
1127;Holm Trensch;Herr;Muehltalstr. 131;;69121;Heidelberg;DE;;06221 54321;P;10;DE;Holm_Trensch@Heidelberg.net;
1128;Achim Waldmann;Herr;Rankestr. 145;;76137;Karlsruhe;DE;;0721 37758;P;15;DE;Achim_Waldmann@Karlsruhe.net;
1129;Achim Illner;Herr;Rankestr. 226;;76137;Karlsruhe;DE;;0721 37758;P;0;DE;Achim_Illner@Karlsruhe.net;
1130;Uli Heller;Frau;Franz-Marc-Str. 271;;70111;Reutlingen;DE;;0734 372509;P;5;DE;Uli_Heller@Reutlingen.net;
1131;Georg Weiss;Herr;Caspar-David-Friedrich-Str. 26;;69190;Walldorf;DE;;06227/57188;P;10;DE;Georg_Weiss@Walldorf.net;
1132;Jean Deichgraeber;M;82 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;15;FR;Jean_Deichgraeber@Bruxelles.net;
1133;Irene Rahn;Frau;Akazienweg 44;;27299;Langwedel;DE;;04232 16212;P;0;DE;Irene_Rahn@Langwedel.net;
1134;James Gutenberg;Herr;12 Golden Gate Drive;;22334;San Francisco;US;;+1 240 27589 29874;P;5;EN;James_Gutenberg@SanFrancisco.net;
1135;Adam Gutenberg;Herr;Heidelberger Str. 275;;69483;Wald-Michelbach;DE;;06207 4138;P;10;DE;Adam_Gutenberg@Wald-Michelbach.net;
1136;Friedrich Sudhoff;Herr;Friedensallee 130;;63263;Neu-Isenburg;DE;;06227 12345;P;15;DE;Friedrich_Sudhoff@Neu-Isenburg.net;
1137;Christoph Sessler;Mr;188 Federal Avenue;;17844;Washington;US;;221 784 4478;P;0;EN;Christoph_Sessler@Washington.net;
1138;Fabio Hunter;Mr.;Via Giulio Cesare 155;;00195;Roma;IT;;3452738785;P;5;IT;Fabio_Hunter@Roma.net;
1139;Juan Gahl;Sr.;39 Fuenlabrada;;28017;Madrid;ES;;914782397;P;10;ES;Juan_Gahl@Madrid.net;
1140;Friedrich Heller;Herr;Friedensallee 122;;63263;Neu-Isenburg;DE;;06227 12345;P;15;DE;Friedrich_Heller@Neu-Isenburg.net;
1141;Sophie Buchholm;Frau;Mutterstadter Str. 152;;67105;Schifferstadt;DE;;0049 6235 93317;P;0;DE;Sophie_Buchholm@Schifferstadt.net;
1142;Amelie Lautenbach;Frau;Froschstr. 257;;68753;Amelie;DE;;07254 953350;P;5;DE;Amelie_Lautenbach@Amelie.net;
1143;Juan Leisert;Sr.;120 Fuenlabrada;;28017;Madrid;ES;;914782397;P;10;ES;Juan_Leisert@Madrid.net;
1144;Siegfried Ryan;Herr;Schillerstr. 24;;15344;Strausberg;DE;;03342 365749;P;15;DE;Siegfried_Ryan@Strausberg.net;
1145;Horst Neubasler;Herr;Elzstrasse 104;;79312;Emmendingen;DE;;07641 927813;P;0;DE;Horst_Neubasler@Emmendingen.net;
1146;Allen Matthaeus;Mr.;138 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;5;EN;Allen_Matthaeus@N.Massapequa.net;
1147;Allen Sudhoff;Mr.;124 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;10;EN;Allen_Sudhoff@N.Massapequa.net;
1148;Roland Matthaeus;Herr;Gemeindestr. 187;;79761;Waldshut;DE;;07751 800753;P;15;DE;Roland_Matthaeus@Waldshut.net;
1149;Uli Eichbaum;Frau;Franz-Marc-Str. 69;;70111;Reutlingen;DE;;0734 372509;P;0;DE;Uli_Eichbaum@Reutlingen.net;
1150;Achim Cesari;Herr;Rankestr. 49;;76137;Karlsruhe;DE;;0721 37758;P;5;DE;Achim_Cesari@Karlsruhe.net;
1151;Mathilde Benz;Frau;Erlengrund 235;;68789;St. Leon-Rot;DE;;06227 13813;P;10;DE;Mathilde_Benz@St.Leon-Rot.net;
1152;Claire Madeira;Frau;Meerfeldstr. 143;;68163;Mannheim-Lindenhof;DE;;0049 621 8283279;P;15;DE;Claire_Madeira@Mannheim-Lindenhof.net;
1153;Astrid Domenech;Frau;Karl-Schwaner-Str. 129;;68219;Mannheim;DE;;0621 801740;P;0;DE;Astrid_Domenech@Mannheim.net;
1154;Johann Fischmann;Herr;Ausfallstr. 170;;11111;Berlin;DE;;030 72545675;P;5;DE;Johann_Fischmann@Berlin.net;
1155;Andrej Jeremias;Herr;144 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;10;DE;Andrej_Jeremias@Ljubljana.net;
1156;Horst Deichgraeber;Herr;Elzstrasse 176;;79312;Emmendingen;DE;;07641 927813;P;15;DE;Horst_Deichgraeber@Emmendingen.net;
1157;Dominik Picard;Herr;Albert-Schweitzer-Str. 184;;75305;Neuenburg;DE;;07082/8950;P;0;DE;Dominik_Picard@Neuenburg.net;
1158;Irene Montero;Frau;Akazienweg 209;;27299;Langwedel;DE;;04232 16212;P;5;DE;Irene_Montero@Langwedel.net;
1159;Lothar Hoffen;Herr;Hauptstr. 162;;69180;Walldorf;DE;;06227 12345;P;10;DE;Lothar_Hoffen@Walldorf.net;
1160;Gisela Jacqmain;Frau;Goeckinghofstr. 135;;58332;Schwelm;DE;;02336/934587;P;15;DE;Gisela_Jacqmain@Schwelm.net;
1161;Guenther Waldmann;Herr;Jacobistrasse 97;;79104;Freiburg;DE;;0761 475633;P;0;DE;Guenther_Waldmann@Freiburg.net;
1162;Matthias Lautenbach;Herr;Gartenstr. 121;;69123;Heidelberg;DE;;07254 6442;P;5;DE;Matthias_Lautenbach@Heidelberg.net;
1163;August Buchholm;Herr;Alte Reichsstr. 269;;66464;Homburg;DE;;06841 53232;P;10;DE;August_Buchholm@Homburg.net;
1164;Gisela Sessler;Frau;Goeckinghofstr. 75;;58332;Schwelm;DE;;02336/934587;P;15;DE;Gisela_Sessler@Schwelm.net;
1165;Ida Babilon;Frau;Dudweilerstr. 89;;66386;St. Ingbert;DE;;06894 194285;P;0;DE;Ida_Babilon@St.Ingbert.net;
1166;Allen Heller;Mr.;222 Sagamore St.;;17758;N. Massapequa;US;;201-692-8128;P;5;EN;Allen_Heller@N.Massapequa.net;
1167;Mathilde Deichgraeber;Frau;Erlengrund 56;;68789;St. Leon-Rot;DE;;06227 13813;P;10;DE;Mathilde_Deichgraeber@St.Leon-Rot.net;
1168;Kurt Lautenbach;Dr.;Waldmann 103;;69207;Kurt;DE;;06221 922 053;P;15;DE;Kurt_Lautenbach@Kurt.net;
1169;Mathilde A. Detemple;Frau;Erlengrund 7;;68789;St. Leon-Rot;DE;;06227 13813;P;0;DE;Mathilde_Detemple@St.Leon-Rot.net;
1170;Carmel Fischmann;Dr.;18 Oak Street;;07666;Teaneck;US;;973-331-3069;P;5;EN;Carmel_Fischmann@Teaneck.net;
1171;Simon Delon;M;rue de Moillebeau 258;;1211;Genve;CH;;+41 22 730 4003;P;10;FR;Simon_Delon@Genve.net;
1172;Claire Hansmann;Frau;Meerfeldstr. 26;;68163;Mannheim-Lindenhof;DE;;0049 621 8283279;P;15;DE;Claire_Hansmann@Mannheim-Lindenhof.net;
1173;Guenther Weiss;Herr;Jacobistrasse 29;;79104;Freiburg;DE;;0761 475633;P;0;DE;Guenther_Weiss@Freiburg.net;
1174;Siegfried Madeira;Herr;Schillerstr. 32;;15344;Strausberg;DE;;03342 365749;P;5;DE;Siegfried_Madeira@Strausberg.net;
1175;Simon Columbo;M;rue de Moillebeau 38;;1211;Genve;CH;;+41 22 730 4003;P;5;FR;Simon_Columbo@Genve.net;
1176;Holm Meier;Herr;Muehltalstr. 154;;69121;Heidelberg;DE;;06221 54321;P;10;DE;Holm_Meier@Heidelberg.net;
1177;Siegfried Hoffen;Herr;Schillerstr. 150;;15344;Strausberg;DE;;03342 365749;P;15;DE;Siegfried_Hoffen@Strausberg.net;
1178;Hendrik Legrand;Herr;Auf dem Huegel 60;;75757;Elsenz;DE;;07272 757575;P;0;DE;Hendrik_Legrand@Elsenz.net;
1179;Cindy Detemple;Mrs;81 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;5;EN;Cindy_Detemple@Arlington.net;
1180;Benjamin Ryan;Mr;48 Voodoo Avenue;;63728;New Orleans;US;;+1 552 48959 68876;P;10;EN;Benjamin_Ryan@NewOrleans.net;
1181;Kurt Fischmann;Dr.;Waldmann 194;;69207;Kurt;DE;;06221 922 053;P;15;DE;Kurt_Fischmann@Kurt.net;
1182;Adam Dumbach;Herr;Heidelberger Str. 19;;69483;Wald-Michelbach;DE;;06207 4138;P;0;DE;Adam_Dumbach@Wald-Michelbach.net;
1183;Lee Miguel;Mr.;88 17th St.;;09765;Boulder;US;;516-865-1547;P;5;EN;Lee_Miguel@Boulder.net;
1184;Roland Gahl;Herr;Gemeindestr. 246;;79761;Waldshut;DE;;07751 800753;P;10;DE;Roland_Gahl@Waldshut.net;
1185;Thilo Buehler;Herr;Zwischergasse 216;;23496;Dielheim;DE;;1234 5678900386;P;15;DE;Thilo_Buehler@Dielheim.net;
1186;Guillermo Pan;Mr.;242 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;0;ES;Guillermo_Pan@Madrid.net;
1187;Ida Sommer;Frau;Dudweilerstr. 114;;66386;St. Ingbert;DE;;06894 194285;P;5;DE;Ida_Sommer@St.Ingbert.net;
1188;Ulla Neubasler;Frau;Gruenlingweg 223;;69180;Wiesloch;DE;;06222 12345;P;10;DE;Ulla_Neubasler@Wiesloch.net;
1189;Thomas Domenech;Mr.;264 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;15;EN;Thomas_Domenech@Chicago.net;
1190;Fabio Buchholm;Mr.;Via Giulio Cesare 9;;00195;Roma;IT;;3452738785;P;0;IT;Fabio_Buchholm@Roma.net;
1191;Holm Pan;Herr;Muehltalstr. 94;;69121;Heidelberg;DE;;06221 54321;P;5;DE;Holm_Pan@Heidelberg.net;
1192;Christoph Delon;Mr;100 Federal Avenue;;17844;Washington;US;;221 784 4478;P;10;EN;Christoph_Delon@Washington.net;
1193;Andrej Leisert;Herr;5 Poklukarjeva;;1000;Ljubljana;SI;;00386 61 277543;P;15;DE;Andrej_Leisert@Ljubljana.net;
1194;Irmtraut Jacqmain;Frau;Max-Planck-Str. 132;;63150;Heusenstamm;DE;;06104 554433;P;0;DE;Irmtraut_Jacqmain@Heusenstamm.net;
1195;Kurt Mechler;Dr.;Waldmann 107;;69207;Kurt;DE;;06221 922 053;P;5;DE;Kurt_Mechler@Kurt.net;
1196;Dominik Legrand;Herr;Albert-Schweitzer-Str. 210;;75305;Neuenburg;DE;;07082/8950;P;10;DE;Dominik_Legrand@Neuenburg.net;
1197;Pierre Vrsic;M;160 route de Pgomas;;06130;Grasse;FR;;+33 2 72 69 00 32;P;15;FR;Pierre_Vrsic@Grasse.net;
1198;Holm Kreiss;Herr;Muehltalstr. 161;;69121;Heidelberg;DE;;06221 54321;P;0;DE;Holm_Kreiss@Heidelberg.net;
1199;Carmel Miguel;Dr.;276 Oak Street;;07666;Teaneck;US;;973-331-3069;P;5;EN;Carmel_Miguel@Teaneck.net;
1200;Hendrik Illner;Herr;Auf dem Huegel 42;;75757;Elsenz;DE;;07272 757575;P;10;DE;Hendrik_Illner@Elsenz.net;
1201;Andreas Buehler;Herr;Hasnerstrasse 252;;4020;Linz;AT;;0732 652149;P;15;DE;Andreas_Buehler@Linz.net;
1202;Guenther Sisko;Herr;Jacobistrasse 196;;79104;Freiburg;DE;;0761 475633;P;0;DE;Guenther_Sisko@Freiburg.net;
1203;Pierre Delon;M;86 route de Pgomas;;06130;Grasse;FR;;+33 2 72 69 00 32;P;5;FR;Pierre_Delon@Grasse.net;
1204;Georg Waldmann;Herr;Caspar-David-Friedrich-Str. 23;;69190;Walldorf;DE;;06227/57188;P;10;DE;Georg_Waldmann@Walldorf.net;
1205;Lothar Sommer;Herr;Hauptstr. 13;;69180;Walldorf;DE;;06227 12345;P;15;DE;Lothar_Sommer@Walldorf.net;
1206;Ludwig Heller;Herr;Wilhelminentr. 127;;64283;Darmstadt;DE;;06151 77372;P;0;DE;Ludwig_Heller@Darmstadt.net;
1207;Cindy Pratt;Mrs;173 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;5;EN;Cindy_Pratt@Arlington.net;
1208;Anne-Marie Benjamin;Frau;Marktplatz 51;;90419;Nuernberg;DE;Bay;0911 584 365;P;10;DE;Anne-Marie_Benjamin@Nuernberg.net;
1209;Cindy Columbo;Mrs;33 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;15;EN;Cindy_Columbo@Arlington.net;
1210;Marta Madeira;Sra.;261 Camelias;;08014;Barcelona;ES;;932374423;P;0;ES;Marta_Madeira@Barcelona.net;
1211;Christa Picard;Frau;Ausserhalb 204;;64342;Seeheim-Jugenheim;DE;;06157 93123;P;5;DE;Christa_Picard@Seeheim-Jugenheim.net;
1212;Guillermo Marshall;Mr.;136 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;10;ES;Guillermo_Marshall@Madrid.net;
1213;Theresia Buehler;Frau;Arndtstrasse 28;;71116;Gaertringen;DE;;07034 / 299934;P;15;DE;Theresia_Buehler@Gaertringen.net;
1214;Jean-Luc Simonen;Herr;62 Rue Balzac;;75839;Paris;FR;;+33 10 3387 23428;P;0;FR;Jean-Luc_Simonen@Paris.net;
1215;Irene Koslowski;Frau;Akazienweg 31;;27299;Langwedel;DE;;04232 16212;P;5;DE;Irene_Koslowski@Langwedel.net;
1216;Carmel Heller;Dr.;244 Oak Street;;07666;Teaneck;US;;973-331-3069;P;10;EN;Carmel_Heller@Teaneck.net;
1217;Johann Lautenbach;Herr;Ausfallstr. 163;;11111;Berlin;DE;;030 72545675;P;15;DE;Johann_Lautenbach@Berlin.net;
1218;Ulla Prinz;Frau;Gruenlingweg 267;;69180;Wiesloch;DE;;06222 12345;P;0;DE;Ulla_Prinz@Wiesloch.net;
1219;Jean Trensch;M;256 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;5;FR;Jean_Trensch@Bruxelles.net;
1220;Lee Jacqmain;Mr.;182 17th St.;;09765;Boulder;US;;516-865-1547;P;10;EN;Lee_Jacqmain@Boulder.net;
1221;Anneliese Cesari;Frau;Am Deich 118;;23056;Buxtehude;DE;;02033 897;P;15;DE;Anneliese_Cesari@Buxtehude.net;
1222;Jean-Luc Mechler;Herr;96 Rue Balzac;;75839;Paris;FR;;+33 10 3387 23428;P;0;FR;Jean-Luc_Mechler@Paris.net;
1223;Simon Deichgraeber;M;rue de Moillebeau 215;;1211;Genve;CH;;+41 22 730 4003;P;5;FR;Simon_Deichgraeber@Genve.net;
1224;Fabio Meier;Mr.;Via Giulio Cesare 265;;00195;Roma;IT;;3452738785;P;10;IT;Fabio_Meier@Roma.net;
1225;Christoph DOultrement;Mr;40 Federal Avenue;;17844;Washington;US;;221 784 4478;P;15;EN;Christoph_DOultrement@Washington.net;
1226;August Ryan;Herr;Alte Reichsstr. 68;;66464;Homburg;DE;;06841 53232;P;0;DE;August_Ryan@Homburg.net;
1227;Jean-Luc Kramer;Herr;281 Rue Balzac;;75839;Paris;FR;;+33 10 3387 23428;P;5;FR;Jean-Luc_Kramer@Paris.net;
1228;Marta Montero;Sra.;1 Camelias;;08014;Barcelona;ES;;932374423;P;10;ES;Marta_Montero@Barcelona.net;
1229;Salvador Simonen;Sr.;74 Piedad;;41006;Sevilla;ES;;953345728;P;15;ES;Salvador_Simonen@Sevilla.net;
1230;Christine Fischmann;Frau;Emil-Heckel-Str. 274;;68163;Mannheim;DE;;0621/812547;P;0;DE;Christine_Fischmann@Mannheim.net;
1231;Anna Kramer;Frau;Lerchenstr. 140;;86343;Koenigsbrunn;DE;;08912 44376;P;5;DE;Anna_Kramer@Koenigsbrunn.net;
1232;Friedrich Hansmann;Herr;Friedensallee 141;;63263;Neu-Isenburg;DE;;06227 12345;P;10;DE;Friedrich_Hansmann@Neu-Isenburg.net;
1233;Johannes Madeira;Herr;Leichhof 270;;55128;Mainz;DE;;06131 125627;P;15;DE;Johannes_Madeira@Mainz.net;
1234;Siegfried Kreiss;Herr;Schillerstr. 206;;15344;Strausberg;DE;;03342 365749;P;0;DE;Siegfried_Kreiss@Strausberg.net;
1235;Carmel Barth;Dr.;55 Oak Street;;07666;Teaneck;US;;973-331-3069;P;5;EN;Carmel_Barth@Teaneck.net;
1236;Siegfried Kramer;Herr;Schillerstr. 201;;15344;Strausberg;DE;;03342 365749;P;10;DE;Siegfried_Kramer@Strausberg.net;
1237;Stephen Sommer;Herr;Arionweg 8;;68723;Schwetzingen;DE;;06202 12345;P;15;DE;Stephen_Sommer@Schwetzingen.net;
1238;Salvador Ryan;Sr.;165 Piedad;;41006;Sevilla;ES;;953345728;P;0;ES;Salvador_Ryan@Sevilla.net;
1239;Roland Meier;Herr;Gemeindestr. 72;;79761;Waldshut;DE;;07751 800753;P;5;DE;Roland_Meier@Waldshut.net;
1240;Dominik Delon;Herr;Albert-Schweitzer-Str. 224;;75305;Neuenburg;DE;;07082/8950;P;10;DE;Dominik_Delon@Neuenburg.net;
1241;Christa Marshall;Frau;Ausserhalb 168;;64342;Seeheim-Jugenheim;DE;;06157 93123;P;15;DE;Christa_Marshall@Seeheim-Jugenheim.net;
1242;Amelie Columbo;Frau;Froschstr. 53;;68753;Amelie;DE;;07254 953350;P;0;DE;Amelie_Columbo@Amelie.net;
1243;Ludwig Madeira;Herr;Wilhelminentr. 137;;64283;Darmstadt;DE;;06151 77372;P;5;DE;Ludwig_Madeira@Darmstadt.net;
1244;Uli Benjamin;Frau;Franz-Marc-Str. 214;;70111;Reutlingen;DE;;0734 372509;P;10;DE;Uli_Benjamin@Reutlingen.net;
1245;Walter Barth;Herr;Carl-Metz Strasse 272;;68163;Mannheim;DE;;0049 621 8282693;P;15;DE;Walter_Barth@Mannheim.net;
1246;Dominik DOultrement;Herr;Albert-Schweitzer-Str. 83;;75305;Neuenburg;DE;;07082/8950;P;0;DE;Dominik_DOultrement@Neuenburg.net;
1247;Amelie Koller;Frau;Froschstr. 259;;68753;Amelie;DE;;07254 953350;P;5;DE;Amelie_Koller@Amelie.net;
1248;Ludwig Delon;Herr;Wilhelminentr. 151;;64283;Darmstadt;DE;;06151 77372;P;10;DE;Ludwig_Delon@Darmstadt.net;
1249;Simon Gutenberg;M;rue de Moillebeau 110;;1211;Genve;CH;;+41 22 730 4003;P;15;FR;Simon_Gutenberg@Genve.net;
1250;Christoph Sommer;Mr;105 Federal Avenue;;17844;Washington;US;;221 784 4478;P;0;EN;Christoph_Sommer@Washington.net;
1251;Christoph Ryan;Mr;64 Federal Avenue;;17844;Washington;US;;221 784 4478;P;5;EN;Christoph_Ryan@Washington.net;
1252;Christoph Babilon;Mr;255 Federal Avenue;;17844;Washington;US;;221 784 4478;P;10;EN;Christoph_Babilon@Washington.net;
1253;Juan Jeremias;Sr.;119 Fuenlabrada;;28017;Madrid;ES;;914782397;P;15;ES;Juan_Jeremias@Madrid.net;
1254;Thomas Dumbach;Mr.;77 Lake Shore Drive;;60657;Chicago;US;IL;312 781 8000;P;0;EN;Thomas_Dumbach@Chicago.net;
1255;Holm Sisko;Herr;Muehltalstr. 263;;69121;Heidelberg;DE;;06221 54321;P;5;DE;Holm_Sisko@Heidelberg.net;
1256;Cindy D. Hunter;Mrs;106 Windstone Drive;;76018;Arlington;US;TX;817 472 1902;P;10;EN;Cindy_Hunter@Arlington.net;
1257;Irene Goelke;Frau;Akazienweg 45;;27299;Langwedel;DE;;04232 16212;P;15;DE;Irene_Goelke@Langwedel.net;
1258;Peter Heller;Herr;Karl-Marx-Allee 249;;16233;Potsdam;DE;;03224 78655;P;0;DE;Peter_Heller@Potsdam.net;
1259;Anneliese Gahl;Frau;Am Deich 117;;23056;Buxtehude;DE;;02033 897;P;5;DE;Anneliese_Gahl@Buxtehude.net;
1260;Pierre DOultrement;M;175 route de Pgomas;;06130;Grasse;FR;;+33 2 72 69 00 32;P;10;FR;Pierre_DOultrement@Grasse.net;
1261;Chantal Gutenberg;Mme;70 rue Nieuport;;78140;Vlizy;FR;;0134 63 1919;P;15;FR;Chantal_Gutenberg@Vlizy.net;
1262;Jean Domenech;M;279 rue Voltaire;;B - 1030;Bruxelles;BE;;+32 2 202 1638;P;0;FR;Jean_Domenech@Bruxelles.net;
1263;Christoph Gueldenpfennig;Mr;22 Federal Avenue;;17844;Washington;US;;221 784 4478;P;5;EN;Christoph_Gueldenpfennig@Washington.net;
1264;Lothar Zimmermann;Herr;Hauptstr. 66;;69180;Walldorf;DE;;06227 12345;P;10;DE;Lothar_Zimmermann@Walldorf.net;
1265;Illya Detemple;Herr;Im Warmet 237;;69231;Rauenberg;DE;;0800 700707;P;15;DE;Illya_Detemple@Rauenberg.net;
1266;Florian Benjamin;Herr;Gruenlingweg 158;;69180;Wiesloch;DE;;06222 12345;P;0;DE;Florian_Benjamin@Wiesloch.net;
1267;Hendrik Sisko;Herr;Auf dem Huegel 278;;75757;Elsenz;DE;;07272 757575;P;5;DE;Hendrik_Sisko@Elsenz.net;
1268;Marta DOultrement;Sra.;91 Camelias;;08014;Barcelona;ES;;932374423;P;10;ES;Marta_DOultrement@Barcelona.net;
1269;Peter Hansmann;Herr;Karl-Marx-Allee 63;;16233;Potsdam;DE;;03224 78655;P;15;DE;Peter_Hansmann@Potsdam.net;
1270;Guillermo Sisko;Mr.;113 Pza. Pablo Ruiz Picasso;;28020;Madrid;ES;;34914567200;P;0;ES;Guillermo_Sisko@Madrid.net;
